latitude,longitude,calculated_host_listings_count,room_type_factor,price
40.6696,-73.93655,9.0,1.0,88
40.72919,-73.98104,1.0,1.0,99
40.68182,-73.959,1.0,1.0,200
40.70978,-73.95143,2.0,1.0,220
40.82631,-73.95201,1.0,0.0,30
40.81691,-73.94124,1.0,0.0,70
40.84943,-73.93146,1.0,0.0,50
40.80748,-73.94922,1.0,1.0,120
40.84581,-73.8889,1.0,2.0,25
40.71973,-73.94272,1.0,1.0,100
40.7055,-74.00812,121.0,1.0,189
40.76616,-73.98228,12.0,1.0,225
40.71409,-73.99427,1.0,0.0,71
40.75511,-73.99532,47.0,0.0,75
40.68626,-73.91324,1.0,1.0,249
40.81795,-73.91178,1.0,2.0,85
40.67414,-73.95667,2.0,0.0,60
40.73404,-74.00955,1.0,1.0,200
40.8481,-73.93585,1.0,1.0,100
40.83658,-73.86181,1.0,0.0,55
40.75384,-73.91433,1.0,1.0,99
40.68591,-73.9249,2.0,1.0,159
40.78342,-73.97312,91.0,1.0,125
40.72745,-73.98362,1.0,0.0,75
40.71633,-73.94138,1.0,1.0,200
40.69449,-73.92629,1.0,1.0,235
40.67672,-73.94934,1.0,1.0,99
40.67748,-73.76376,1.0,1.0,100
40.79494,-73.97221,1.0,1.0,168
40.80013,-73.95998,1.0,1.0,150
40.70808,-73.94757,1.0,1.0,175
40.70833,-73.94898,1.0,0.0,46
40.80832,-73.93756,1.0,1.0,200
40.7114,-73.98794,1.0,0.0,94
40.70304,-73.91694,3.0,0.0,60
40.76777,-73.91109,4.0,2.0,38
40.83088,-73.945,1.0,1.0,77
40.74965,-73.97566,50.0,1.0,150
40.74814,-73.99416,1.0,1.0,269
40.6666,-73.89112,2.0,0.0,55
40.71122,-73.96361,1.0,0.0,100
40.75372,-73.99332,1.0,2.0,99
40.7662,-73.82854,4.0,0.0,35
40.76242,-73.9925,1.0,1.0,149
40.71862,-73.997,1.0,1.0,255
40.63682,-73.9676,2.0,1.0,70
40.64844,-73.96214,1.0,0.0,45
40.58737,-73.96882,12.0,2.0,20
40.74005,-74.00525,1.0,1.0,205
40.70463,-73.91183,2.0,1.0,190
40.64074,-74.01512,8.0,0.0,53
40.76211,-73.94887,1.0,0.0,70
40.75607,-73.9941,1.0,1.0,200
40.80605,-73.94889,1.0,1.0,150
40.72968,-74.00114,1.0,1.0,175
40.59421,-73.80043,1.0,1.0,200
40.69335,-73.9369,4.0,0.0,79
40.81595,-73.9447,1.0,0.0,125
40.65312,-73.93413,4.0,0.0,35
40.76621,-73.92274,2.0,0.0,100
40.63445,-74.00524,10.0,0.0,57
40.75093,-73.99523,20.0,0.0,199
40.70165,-73.92938,2.0,0.0,50
40.85128,-73.93907,1.0,0.0,150
40.79433,-73.94414,1.0,0.0,70
40.67659,-74.00643,2.0,0.0,35
40.73533,-73.98384,1.0,1.0,139
40.65842,-73.96044,2.0,0.0,69
40.69265,-73.97009,2.0,1.0,225
40.88068,-73.90012,4.0,0.0,79
40.85019,-73.94093,1.0,2.0,40
40.73045,-73.98067,1.0,0.0,115
40.76169,-73.99626,327.0,1.0,187
40.68763,-73.95683,1.0,1.0,100
40.80868,-73.95801,1.0,0.0,55
40.69881,-73.91278,1.0,0.0,32
40.84539,-73.93968,2.0,2.0,40
40.66649,-73.92855,1.0,1.0,125
40.74572,-73.92198,5.0,0.0,78
40.82393,-73.95308,2.0,0.0,95
40.80474,-73.95527,1.0,1.0,150
40.68895,-73.9062,6.0,0.0,38
40.76972,-73.9206,1.0,0.0,85
40.77873,-73.97845,2.0,1.0,285
40.73804,-73.9852,1.0,1.0,110
40.85973,-73.86699,1.0,1.0,70
40.72174,-73.94802,1.0,0.0,65
40.72799,-74.00046,3.0,1.0,196
40.70778,-74.01074,327.0,1.0,205
40.63784,-73.89406,5.0,0.0,98
40.65144,-73.94489,9.0,0.0,32
40.76848,-73.90768,2.0,0.0,43
40.71543,-73.83564,5.0,2.0,60
40.62462,-73.95508,1.0,0.0,89
40.63667,-73.96705,1.0,1.0,250
40.71713,-73.95669,1.0,1.0,175
40.67859,-73.89936,1.0,1.0,120
40.78281,-73.98124,10.0,0.0,325
40.73899,-73.99912,1.0,1.0,239
40.75386,-73.99562,47.0,0.0,55
40.74233,-73.9125,1.0,2.0,30
40.67868,-73.95541,1.0,1.0,119
40.68635,-73.95893,1.0,1.0,160
40.79733,-73.96104,1.0,1.0,90
40.6847,-73.94523,5.0,1.0,115
40.67963,-73.93908,3.0,0.0,88
40.6892,-73.95352,4.0,0.0,200
40.7689,-73.98993,1.0,1.0,225
40.74991,-73.97262,1.0,1.0,200
40.65614,-73.91754,1.0,1.0,103
40.75788,-73.99198,1.0,1.0,269
40.7154,-73.93866,1.0,1.0,295
40.67581,-73.82304,3.0,0.0,60
40.80107,-73.96065,1.0,1.0,50
40.68675,-73.95865,1.0,1.0,120
40.75558,-73.89316,1.0,1.0,200
40.84565,-73.91684,1.0,1.0,80
40.74064,-73.92871,12.0,2.0,30
40.68952,-73.94519,1.0,1.0,100
40.85527,-73.86719,1.0,0.0,35
40.76421,-73.92138,1.0,1.0,190
40.86794,-73.91629,1.0,1.0,70
40.71962,-73.98241,1.0,1.0,80
40.67335,-73.95391,4.0,0.0,37
40.83473,-73.93858,1.0,0.0,77
40.75975,-73.98586,327.0,1.0,159
40.76165,-73.90839,11.0,1.0,60
40.71947,-73.96255,1.0,0.0,41
40.80709,-73.94952,1.0,1.0,135
40.68785,-73.94262,1.0,0.0,30
40.72159,-74.00022,3.0,0.0,115
40.73508,-73.98477,2.0,1.0,118
40.68912,-74.00121,1.0,0.0,85
40.767,-73.93051,1.0,1.0,95
40.72399,-73.98261,1.0,1.0,195
40.71995,-73.99461,3.0,0.0,140
40.69784,-73.89427,1.0,1.0,125
40.68671,-73.93886,1.0,1.0,120
40.779,-73.98319,65.0,1.0,200
40.72004,-73.95424,1.0,1.0,199
40.74418,-73.97565,2.0,0.0,70
40.76372,-73.79201,1.0,2.0,108
40.75291,-73.92305,1.0,0.0,75
40.81868,-73.93937,2.0,0.0,67
40.76251,-73.98392,15.0,0.0,100
40.81302,-73.95349,1.0,2.0,10
40.7889,-73.9729,1.0,1.0,300
40.68901,-73.94031,2.0,1.0,220
40.71042,-73.82912,5.0,0.0,70
40.63015,-74.02305,1.0,1.0,90
40.84184,-73.84967,2.0,0.0,28
40.79368,-73.96487,1.0,1.0,190
40.68296,-73.93052,4.0,1.0,100
40.72022,-73.99604,1.0,1.0,300
40.75418,-73.9664,1.0,1.0,180
40.82335,-73.94902,1.0,0.0,125
40.68931,-73.93131,4.0,0.0,65
